,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
134,Moba,93,CD,1574159110,69,-7.04,29.77,77.38,5.12
135,Lixourion,75,GR,1574159110,88,38.2,20.43,73.0,14.99
136,Cayenne,7,GF,1574159110,83,4.94,-52.33,80.6,2.24
137,Letlhakane,67,BW,1574159110,34,-21.42,25.59,89.85,11.48
138,Macieira de Cambra,75,PT,1574159110,100,40.86,-8.34,46.4,9.17
139,Mahenge,39,TZ,1574159110,31,-8.68,36.72,97.12,6.93
140,Segou,59,SN,1574159110,40,12.41,-12.29,86.0,6.93
141,Axim,16,GH,1574159111,71,4.87,-2.24,84.58,3.09
142,Lugo,100,ES,1574159093,98,43.01,-7.56,48.99,3.0
143,Alta Floresta,100,BR,1574159111,97,-9.87,-56.08,69.03,1.23
144,Mbandaka,100,CD,1574159111,94,0.05,18.26,75.58,2.24
145,Kongwa,72,TZ,1574159111,33,-6.19,36.41,86.49,10.16
146,Nara,40,JP,1574159006,46,34.68,135.8,53.6,10.29
147,Bambous Virieux,40,MU,1574159111,70,-20.34,57.76,84.2,8.05
148,Shieli,0,KZ,1574159111,46,44.18,66.74,46.53,12.97
149,Faya,40,SA,1574159111,40,18.39,42.45,75.2,11.41
150,Castelo Branco,100,PT,1574159112,85,39.82,-7.5,42.01,2.3
151,Bella Union,67,CO,1574159112,96,8.5,-73.35,64.45,3.51
152,Chake Chake,71,TZ,1574159112,71,-5.25,39.77,82.76,5.14
153,Kars,0,TR,1574159112,19,40.61,43.1,50.0,3.36
154,Madingou,97,CG,1574159112,82,-4.17,13.56,80.91,2.15
155,Aranda de Duero,44,ES,1574159112,77,41.67,-3.69,36.91,4.59
156,Lapeer,1,US,1574159069,100,43.05,-83.32,32.0,3.42
157,Salalah,40,OM,1574159112,62,17.01,54.1,84.2,8.05
158,Cassilandia,4,BR,1574159112,84,-19.11,-51.73,70.23,3.2
159,Itaituba,39,BR,1574159112,98,-4.26,-55.99,70.63,1.57
160,Bandarbeyla,91,SO,1574159112,80,9.49,50.81,80.62,12.01
161,Cidreira,98,BR,1574159112,81,-30.17,-50.22,69.49,20.38
162,Belmonte,100,PT,1574159112,97,40.36,-7.35,43.0,1.99
163,San Cristobal,71,HN,1574159112,99,14.68,-86.92,59.07,2.35
164,Coquimbo,90,CL,1574159112,87,-29.95,-71.34,59.0,4.7
165,Harper,1,US,1574159112,93,30.3,-99.24,55.0,10.0
166,Santa Isabel do Rio Negro,100,BR,1574159112,97,-0.41,-65.02,73.26,2.39
167,Werda,95,BW,1574159112,28,-25.27,23.28,90.64,15.64
168,Micheweni,68,TZ,1574159112,74,-4.97,39.83,82.35,5.91
169,Martan-Chu,90,RU,1574159113,75,43.06,45.56,46.4,4.47
170,Esna,90,RO,1574159113,93,45.2,27.57,55.4,4.7
171,Phalaborwa,31,ZA,1574159113,54,-23.95,31.14,82.4,10.29
172,Montepuez,100,MZ,1574159113,28,-13.13,39.0,96.94,5.84
173,Oni,0,GE,1574159113,28,42.59,43.44,47.57,4.38
174,Sao Felix do Xingu,100,BR,1574159113,98,-6.64,-51.99,70.32,2.75
175,Kamina,100,CD,1574159113,92,-8.74,25.0,70.18,5.1
176,Anloga,40,GH,1574159113,74,5.79,0.9,86.0,5.82
177,Orbetello,90,IT,1574159113,100,42.44,11.21,55.4,18.34
178,Nola,100,CF,1574159113,44,3.52,16.05,87.76,3.04
179,Hit,0,IQ,1574159113,17,33.64,42.83,66.25,12.08
180,Chuy,0,UY,1574159113,82,-33.69,-53.46,66.04,5.28
181,Oranjemund,31,ZA,1574159113,42,-28.55,16.43,68.29,19.42
182,Gedo,0,ET,1574159113,50,9.01,37.45,74.14,1.16
183,Grand-Santi,2,GF,1574159113,99,4.27,-54.38,70.45,0.92
184,Santiago del Estero,100,AR,1574159113,46,-27.8,-64.26,73.72,7.92
185,Dakar,92,SN,1574159114,83,14.69,-17.45,78.8,16.11
186,Olinda,4,AU,1574159114,82,-37.84,145.39,60.01,10.29
187,Namibe,100,AO,1574159114,76,-15.19,12.15,70.0,12.8
188,Marovoay,20,MG,1574159114,63,-16.11,46.64,91.4,12.75
189,Puerto Concordia,8,CO,1574159114,98,2.62,-72.76,70.2,1.21
190,Edd,40,ER,1574159114,34,13.93,41.69,94.33,7.07
191,Mahanoro,75,MG,1574159114,69,-19.9,48.8,79.84,3.18
192,Pisco,100,PE,1574159114,87,-13.71,-76.2,60.8,3.36
193,Poptun,86,GT,1574159114,97,16.33,-89.42,59.41,1.19
194,Urubicha,26,BO,1574159114,68,-15.63,-63.08,74.14,2.8
195,San Rafael,56,AR,1574159114,60,-34.61,-68.33,62.08,0.27
196,Richards Bay,3,ZA,1574159114,85,-28.77,32.06,71.15,19.35
197,Santa Vitoria do Palmar,0,BR,1574159114,82,-33.52,-53.37,66.04,5.28
198,Busselton,39,AU,1574159115,34,-33.64,115.35,66.99,22.57
199,Tazmalt,40,DZ,1574159115,71,36.39,4.4,55.4,16.11
200,Kasamwa,87,TZ,1574159115,63,-2.84,32.42,81.25,1.57
201,Charlottesville,90,US,1574158865,87,38.03,-78.48,43.0,3.36
202,Puri,100,ID,1574159115,52,-7.54,112.45,86.68,3.98
203,Lydenburg,12,ZA,1574159115,40,-25.1,30.46,82.22,8.95
204,Quchan,72,IR,1574159115,27,37.11,58.51,51.48,5.01
205,Funadhoo,63,MV,1574159115,69,6.15,73.27,83.17,3.53
206,Imbituba,29,BR,1574159092,88,-28.24,-48.67,69.8,8.05
207,Shelburne,90,CA,1574159115,99,44.08,-80.2,35.01,3.22
208,Atar,95,MR,1574159115,38,20.52,-13.05,73.4,9.17
209,Qandala,100,SO,1574159115,65,11.47,49.87,83.61,10.09
210,Surt,0,LY,1574158969,51,31.21,16.59,69.6,10.27
211,Mucurapo,75,TT,1574159115,88,10.67,-61.53,78.01,4.7
212,Bathsheba,40,BB,1574159116,74,13.22,-59.52,82.4,10.29
213,Nova Olimpia,61,BR,1574159116,96,-14.8,-57.29,70.81,3.27
214,Awbari,6,LY,1574159116,25,26.59,12.77,73.33,16.33
215,Presidente Franco,0,PY,1574159116,78,-25.57,-54.62,75.2,10.29
216,Kafanchan,10,NG,1574159116,30,9.58,8.3,87.08,2.06
217,Maua,68,KE,1574159116,70,0.23,37.94,80.46,4.27
218,Laguna,50,BZ,1574159116,93,16.17,-88.94,66.2,2.84
219,Teshie,40,GH,1574159009,79,5.58,-0.11,84.2,8.05
220,Vallenar,0,CL,1574159116,78,-28.58,-70.76,53.01,1.54
221,Koungheul,91,SN,1574159116,19,13.98,-14.8,87.26,11.18
222,Talcahuano,59,CL,1574158997,93,-36.72,-73.12,53.6,4.7
223,Marzuq,100,YE,1574159116,24,14.4,46.47,85.48,9.64
224,Basoko,43,CD,1574159116,53,1.23,23.61,90.43,1.43
225,Leh,27,IN,1574158826,34,34.16,77.58,20.28,1.19
226,Rio Verde de Mato Grosso,13,BR,1574159116,68,-18.92,-54.84,74.41,4.61
227,Mazara del Vallo,20,IT,1574159116,87,37.65,12.59,60.8,6.93
228,Deoria,100,IN,1574159116,31,26.5,83.79,80.42,8.99
229,Ayorou,17,NE,1574159116,10,14.73,0.92,86.61,11.68
230,Port Alfred,56,ZA,1574159116,50,-33.59,26.89,69.57,19.01
231,Hamilton,90,CA,1574159116,100,43.26,-79.87,37.99,5.82
232,Henties Bay,88,NA,1574159116,52,-22.12,14.28,68.02,8.93
233,Abnub,0,EG,1574159117,47,27.27,31.15,77.0,3.36
234,Iquique,16,CL,1574159034,68,-20.22,-70.14,66.2,3.36
235,Salinas,90,US,1574159117,93,36.67,-121.66,57.0,2.13
236,Reading,90,US,1574158868,93,40.34,-75.93,39.99,4.7
237,Jimma,65,ET,1574159117,56,7.67,36.84,75.85,1.7
238,Mmathubudukwane,75,BW,1574159117,57,-24.61,26.43,80.6,6.93
239,Filingue,0,NE,1574159117,14,14.35,3.32,89.85,9.93
240,Port Blair,0,IN,1574159117,72,11.67,92.75,83.05,9.86
241,Touros,75,BR,1574159117,69,-5.2,-35.46,80.6,10.29
242,Chicama,90,PE,1574159117,77,-7.84,-79.15,64.4,2.24
243,Maragogi,100,BR,1574159117,74,-9.01,-35.22,79.48,14.9
244,Mayumba,91,GA,1574159117,85,-3.44,10.65,79.93,7.43
245,Semnan,75,IR,1574159117,53,35.58,53.39,51.8,2.24
246,Kovur,100,IN,1574159117,92,14.5,79.99,75.97,11.21
247,Mbouda,96,CM,1574159117,52,5.63,10.25,78.22,2.8
248,Ponta Delgada,20,PT,1574159117,67,37.73,-25.67,59.0,6.93
249,Rafai,4,CF,1574159117,46,4.95,23.92,92.05,1.72
250,Diamantino,86,BR,1574159117,93,-14.4,-56.44,70.9,4.21
251,Ambilobe,46,MG,1574159117,35,-13.19,49.05,97.93,3.29
252,Grootfontein,4,NA,1574159117,17,-19.56,18.1,91.4,8.05
253,Praia da Vitoria,75,PT,1574159118,77,38.73,-27.07,60.01,13.65
254,Francisco Sa,84,BR,1574159118,100,-16.48,-43.49,68.0,4.21
255,Anuradhapura,100,LK,1574159118,74,8.34,80.41,84.27,7.14
256,Mehriz,90,IR,1574159118,87,31.58,54.44,42.8,6.93
257,Sehithwa,42,BW,1574159118,29,-20.47,22.7,94.86,10.0
258,Farah,100,AF,1574159118,15,32.37,62.11,66.38,2.04
259,Utete,98,TZ,1574159118,36,-7.99,38.76,97.14,4.99
260,Constantine,90,DZ,1574159118,81,36.36,6.61,46.4,5.82
261,Hazorasp,42,UZ,1574159118,21,41.32,61.08,50.0,4.7
262,Barentu,0,ER,1574159118,22,15.11,37.59,90.37,1.97
263,Cefalu,100,IT,1574159118,71,38.04,14.02,59.0,1.99
264,Jalu,0,LY,1574159118,38,29.03,21.55,75.29,13.91
265,Boffa,100,GN,1574159118,74,10.18,-14.04,81.28,2.73
266,Muli,83,CN,1574159118,60,28.08,109.56,48.56,3.04
267,Adwa,0,ET,1574159118,32,14.16,38.9,77.94,4.25
268,Cocobeach,20,GA,1574159118,62,1.01,9.58,87.8,8.05
269,Salto,75,BR,1574159118,77,-23.2,-47.29,75.0,13.87
270,Bermejo,43,AR,1574159118,59,-22.73,-64.34,67.69,2.44
271,Palafrugell,0,ES,1574159118,66,41.92,3.16,55.0,1.12
272,Gazojak,80,TM,1574159118,20,41.19,61.4,52.23,6.13
273,Las Tapias,49,AR,1574159119,48,-31.46,-68.56,71.69,9.1
274,Mindelo,75,PT,1574159119,100,41.31,-8.72,51.01,9.17
275,Pombas,98,BR,1574159119,83,-15.9,-54.74,72.12,1.72
276,Saint Andrews,67,NZ,1574159119,92,-44.53,171.19,53.01,14.0
277,Goure,0,NE,1574159119,14,13.98,10.27,95.0,7.0
278,Tefe,100,BR,1574159119,98,-3.35,-64.71,73.6,2.59
279,Carauari,100,BR,1574159119,96,-4.88,-66.9,74.07,1.57
280,Hobyo,86,SO,1574159119,58,5.35,48.53,88.0,18.28
281,Mogadishu,40,SO,1574158922,62,2.04,45.34,86.0,10.29
282,Nioro,91,GM,1574159119,19,13.79,-15.05,87.26,11.18
283,Puerto Quijarro,20,BO,1574159119,88,-19.0,-57.72,78.8,6.93
284,Paramirim,88,BR,1574159119,92,-13.44,-42.24,64.56,4.7
285,Pitimbu,75,BR,1574159119,74,-7.47,-34.81,80.6,13.87
286,Santa Cruz,91,BR,1574159095,75,-6.22,-36.02,74.64,11.54
287,Maracaibo,100,CO,1574159119,88,3.41,-75.78,62.6,4.7
288,Beira,75,ES,1574159119,87,43.2,-8.36,51.01,10.29
289,Neyshabur,100,IR,1574159119,39,36.21,58.79,53.85,1.54
290,Karakol,4,KG,1574159119,82,42.49,78.39,30.78,2.33
291,Meridian,100,US,1574158957,93,43.61,-116.39,46.0,10.78
292,Gashua,6,NG,1574159120,17,12.87,11.04,92.08,7.96
293,Kadoma,40,JP,1574159120,46,34.73,135.6,54.0,10.29
294,Jacmel,0,HT,1574159120,94,18.24,-72.54,75.2,3.36
295,Dabakala,0,CI,1574159120,66,8.36,-4.43,82.69,2.77
296,Aubenas,90,FR,1574159120,86,44.62,4.39,48.2,12.75
297,Johi,39,PK,1574159120,15,26.69,67.61,83.37,1.5
298,Elbistan,0,TR,1574159120,21,38.2,37.19,51.22,6.46
299,East London,100,ZA,1574159120,56,-33.02,27.91,69.8,19.46
300,The Valley,20,AI,1574158964,88,18.22,-63.06,79.0,3.36
301,Lagdo,65,CM,1574159120,48,9.06,13.67,87.8,3.36
302,Saint-Pierre,75,FR,1574159120,86,48.95,4.24,42.01,3.36
303,Lubango,75,AO,1574159120,30,-14.92,13.49,77.0,11.41
304,Tsaratanana,49,MG,1574159120,43,-16.8,47.65,88.68,7.4
305,Quelimane,40,MZ,1574159120,70,-17.88,36.89,91.4,10.29
306,Bubaque,8,GW,1574159120,54,11.28,-15.83,82.26,8.5
307,Naliya,100,IN,1574159120,29,23.26,68.83,82.76,4.76
308,Lima,90,PE,1574159120,82,-12.06,-77.04,66.2,4.7
309,Khorramabad,20,IR,1574159120,43,33.48,48.35,51.8,9.17
310,Barcelos,96,BR,1574159121,95,-0.97,-62.93,73.09,2.13
311,Marabba,65,SD,1574159121,10,12.35,32.18,91.17,13.51
312,Alta Gracia,45,AR,1574159121,82,-31.66,-64.43,71.01,6.93
313,Mitu,84,IR,1574159121,62,36.2,46.09,34.79,8.48
314,Marsa Matruh,0,EG,1574159121,41,31.35,27.25,75.2,11.41
315,Sechura,77,PE,1574159121,90,-5.56,-80.82,64.18,8.16
316,Palaia Fokaia,40,GR,1574159121,60,37.72,23.95,72.0,3.36
317,Lasa,0,CY,1574159121,33,34.92,32.53,75.2,10.29
318,Morondava,88,MG,1574159121,39,-20.3,44.28,97.72,3.36
319,Wukari,6,NG,1574159121,59,7.87,9.78,87.93,5.21
320,Araouane,100,ML,1574159121,12,18.9,-3.53,69.31,10.13
321,San Matias,11,BO,1574159121,81,-16.36,-58.4,73.98,0.87
322,Van,20,TR,1574159121,28,38.51,43.37,44.6,6.93
323,Thinadhoo,52,MV,1574159121,78,0.53,72.93,82.83,10.87
324,Torbat-e Jam,93,IR,1574159121,23,35.24,60.63,54.81,6.93
325,Antalaha,73,MG,1574159121,76,-14.9,50.28,82.15,9.78
326,Kang,83,BW,1574159121,35,-23.67,22.79,86.49,16.44
327,Kalmunai,100,LK,1574159121,67,7.42,81.82,83.75,6.6
328,Kagoro,10,NG,1574159122,30,9.6,8.38,87.08,2.06
329,Deulgaon Raja,87,IN,1574159122,35,20.02,76.04,86.0,5.82
330,Sinjar,0,SY,1574159122,16,35.59,37.0,63.03,4.85
331,Paravur,40,IN,1574159122,66,10.15,76.23,91.4,10.29
332,Defiance,90,US,1574159122,80,41.28,-84.36,39.2,4.7
333,Mazamari,100,PE,1574159122,89,-11.33,-74.53,59.74,3.96
334,Kruisfontein,43,ZA,1574159122,50,-34.0,24.73,66.15,21.03
335,Panjab,100,AF,1574159122,44,34.38,67.02,35.35,2.68
336,Lucapa,100,AO,1574159122,83,-8.42,20.74,75.81,4.16
337,Pula,75,EC,1574159122,83,-1.95,-79.93,73.4,8.05
338,La Rioja,96,AR,1574159122,59,-29.41,-66.86,67.33,3.96
339,Mao,40,DO,1574159122,100,19.55,-71.08,75.0,4.83
340,Road Town,20,VG,1574159122,83,18.42,-64.62,79.0,7.02
341,Yazman,0,SY,1574159122,18,36.74,38.46,62.2,10.49
342,Atocha,20,AR,1574159122,82,-24.82,-65.48,68.0,1.28
343,Taft,99,PH,1574159122,75,11.9,125.42,82.67,4.18
344,Havelock,90,US,1574159052,93,34.88,-76.9,46.4,6.93
345,Inhambane,40,MZ,1574159123,70,-23.87,35.38,87.8,23.04
346,Sivas,0,TR,1574159123,45,39.75,37.01,48.2,6.93
347,Dedougou,0,BF,1574159123,14,12.47,-3.47,87.33,9.19
348,Marrakesh,75,MA,1574159123,72,31.63,-7.99,59.0,4.7
349,Mundo Novo,0,BR,1574159123,63,-23.94,-54.29,69.22,5.1
350,Adeje,100,NG,1574159123,64,5.68,5.76,87.93,3.18
351,Bilma,0,NE,1574159123,12,18.69,12.92,90.99,8.59
352,Lagoa,100,PT,1574159123,71,37.14,-8.45,57.99,2.24
353,Montalvo,20,ES,1574159123,93,40.62,-5.41,41.0,2.57
354,Omboue,54,GA,1574159123,63,-1.57,9.26,86.77,3.69
355,Calabozo,60,VE,1574159123,93,8.92,-67.43,72.0,2.84
356,Ambovombe,0,MG,1574159123,38,-25.18,46.09,95.31,3.78
357,Pozo Colorado,1,PY,1574159123,55,-23.49,-58.8,73.08,3.2
358,Liverpool,20,GB,1574159123,100,53.41,-2.98,37.99,5.82
359,Kulhudhuffushi,81,MV,1574159123,69,6.62,73.07,83.41,5.3
360,Challapata,58,BO,1574159123,54,-18.9,-66.78,47.08,7.43
361,Kisanga,75,CD,1574159123,74,-11.72,27.4,78.8,4.05
362,Banda Aceh,80,ID,1574159123,70,5.56,95.32,83.53,6.42
363,Rodrigues Alves,100,BR,1574159123,95,-7.74,-72.65,71.46,2.91
364,Sao Gabriel,11,BR,1574158966,63,-30.34,-54.32,63.7,6.24
365,Belfast,100,GB,1574159124,87,54.6,-5.93,48.2,14.99
366,Macau,100,BR,1574159124,71,-5.11,-36.64,80.6,19.62
367,Kozluk,0,TR,1574159124,25,38.17,41.5,60.8,3.36
368,San Carlos de Bariloche,40,AR,1574158854,15,-41.13,-71.31,86.0,5.82
369,La Palma,60,CO,1574159124,98,5.36,-74.39,65.26,1.68
370,Canico,40,PT,1574159124,60,32.63,-16.85,68.0,3.36
371,Saveh,99,IR,1574159124,63,35.02,50.36,46.69,9.4
372,Kaspiysk,20,RU,1574159124,71,42.88,47.64,53.6,6.71
373,Ratnagiri,30,IN,1574159124,48,16.98,73.3,90.86,3.42
374,Kontagora,68,NG,1574159124,30,10.4,5.47,88.97,3.6
